trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.7, 'e': 0.2762516676992082}",25,18,8.027101760166957,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.27348915102221616}",20,0,-53.4316786022785,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
130,False,"{'a': 0.7, 'e': 0.270754259511994}",20,0,-200.69060149768796,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 5}",0
131,False,"{'a': 0.7, 'e': 0.26804671691687404}",20,9,-34.6529905178328,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.7, 'e': 0.2653662497477053}",20,10,-45.64316718728434,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
133,False,"{'a': 0.7, 'e': 0.2627125872502282}",25,2,-28.245918045300023,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.7, 'e': 0.2600854613777259}",25,13,-41.948465396578136,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
135,False,"{'a': 0.7, 'e': 0.2574846067639487}",20,2,-90.4086110635109,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 1}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963092}",30,14,-13.569087046060307,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.2523606630893461}",30,18,-2.9520911689837965,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.24983705645845267}",25,0,29.234781234572072,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.7, 'e': 0.24733868589386815}",25,5,5.481180039566329,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24486529903492946}",30,0,27.89348681697268,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.24241664604458016}",25,11,-61.796901903709134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
142,False,"{'a': 0.7, 'e': 0.23999247958413436}",25,20,8.868043538669006,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",20,0,-33.1317508310479,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.7, 'e': 0.2352166292404101}",25,5,-37.88103947121193,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",20,2,-56.305416996295655,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",30,1,-6.138538519377299,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",20,10,-15.131604720531602,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",25,2,-12.330567485235637,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
